거주자 성별 연령,년월,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
여 30s,201902,"762,319","218,651","152,614","207,168","98,009","100,027","77,859","30,273","942,564","82,799","96,377","132,860","98,965","95,093","147,957","208,643","42,612"
여 40s,201902,"786,842","258,599","202,442","240,587","123,214","123,841","95,403","28,666","1,120,022","111,270","118,623","153,322","133,922","123,931","188,633","265,604","53,826"
여 50s,201902,"774,736","302,138","218,233","254,109","116,501","121,818","102,367","18,812","1,049,294","131,224","131,449","160,154","147,185","148,668","225,618","282,864","51,500"
여 60s,201902,"589,420","253,015","152,442","158,900","76,014","81,406","61,956","12,500","650,662","104,341","97,454","124,529","117,742","122,401","184,135","204,247","34,884"
여 70s,201902,"351,576","149,721","93,757","90,512","48,648","46,755","28,972","6,951","390,187","75,336","65,815","91,119","91,995","110,111","133,010","133,008","24,008"
여 80s,201902,"148,012","65,021","44,652","45,873","23,243","23,799","13,700","4,248","195,229","41,424","39,596","60,325","56,413","69,202","82,442","78,403","14,671"
남 20s,201903,"712,026","231,188","176,802","212,163","107,580","112,322","84,435","17,488","915,467","101,187","110,217","134,722","115,498","111,116","165,960","215,168","42,933"
남 30s,201903,"760,426","226,896","160,391","219,398","99,572","105,236","85,941","28,915","985,947","89,868","106,497","151,762","104,919","105,146","165,843","225,438","43,817"
남 40s,201903,"769,649","259,293","195,463","247,422","121,060","121,935","96,676","31,167","1,147,755","118,692","126,731","174,915","143,462","143,478","205,217","280,342","58,571"
남 50s,201903,"736,531","280,898","208,533","254,264","113,817","119,362","107,282","20,374","1,083,170","136,795","138,438","176,223","155,444","168,372","238,337","293,942","56,127"
남 60s,201903,"532,492","231,471","139,933","157,308","69,308","77,976","63,986","12,320","644,653","103,731","98,041","123,837","114,836","123,371","181,501","202,482","34,382"
남 70s,201903,"296,901","122,366","71,134","73,752","38,382","38,196","25,297","5,680","318,775","59,928","52,099","72,505","69,851","80,892","101,596","100,055","19,580"
남 80s,201903,"88,740","34,493","23,407","22,863","12,152","12,781","6,211","2,071","107,165","21,618","19,813","32,237","27,791","30,859","39,542","34,279","6,876"
여 20s,201903,"732,959","209,061","150,541","194,491","98,008","100,449","66,848","17,082","826,796","79,324","89,020","111,485","99,294","92,011","129,468","174,536","38,498"
여 30s,201903,"760,098","217,795","151,996","206,401","97,572","99,590","77,544","30,418","940,694","82,501","96,078","132,382","98,467","94,662","147,383","207,812","42,541"
여 40s,201903,"783,740","257,542","201,563","239,668","123,081","123,158","95,039","28,874","1,117,212","110,873","117,951","152,891","133,391","123,513","187,995","264,726","53,895"
여 50s,201903,"774,243","301,499","218,144","254,469","116,497","121,958","102,488","19,057","1,052,128","131,081","131,704","160,241","147,266","148,454","225,454","283,012","51,590"
여 60s,201903,"592,314","254,132","153,138","160,059","76,471","81,909","62,386","12,644","655,749","105,071","98,080","125,158","118,302","122,867","185,018","205,603","35,081"
여 70s,201903,"352,545","150,187","94,038","90,711","48,691","46,887","29,099","6,997","390,920","75,221","65,695","91,035","91,741","109,670","132,871","133,032","24,013"
여 80s,201903,"149,392","65,673","45,139","46,252","23,510","23,972","13,800","4,265","196,980","41,775","39,925","60,837","56,868","69,858","83,397","79,050","14,708"
남 20s,201904,"712,732","231,015","176,550","212,462","107,908","112,407","84,368","17,631","917,667","101,137","110,510","134,818","115,496","111,246","165,850","215,058","43,016"
남 30s,201904,"759,155","226,386","160,045","219,066","99,292","105,100","85,772","29,021","985,773","89,608","106,252","151,588","104,508","104,776","165,595","224,851","43,769"
남 40s,201904,"767,387","258,639","194,853","246,937","120,844","121,446","96,490","31,309","1,146,315","118,252","126,384","174,354","143,096","143,146","204,708","279,736","58,409"
남 50s,201904,"736,567","280,609","208,428","254,535","113,950","119,533","107,224","20,527","1,085,290","136,978","138,745","176,596","155,518","168,341","238,342","294,182","56,333"
남 60s,201904,"534,283","231,980","140,513","158,260","69,717","78,309","64,372","12,450","649,035","104,383","98,583","124,465","115,348","123,923","182,380","203,496","34,585"
남 70s,201904,"297,286","122,677","71,310","74,023","38,444","38,261","25,395","5,715","319,434","59,911","52,073","72,565","69,828","80,837","101,740","100,426","19,553"
남 80s,201904,"89,567","34,810","23,609","23,088","12,241","12,874","6,306","2,099","108,040","21,812","19,984","32,467","27,951","31,109","39,925","34,530","6,932"
여 20s,201904,"734,634","209,042","150,611","194,482","98,127","100,599","66,778","17,156","828,121","79,420","89,170","111,443","99,257","91,925","129,239","174,305","38,539"
여 30s,201904,"759,103","217,257","151,625","206,074","97,319","99,234","77,326","30,525","940,006","82,307","95,804","132,200","98,243","94,356","147,041","207,252","42,480"
여 40s,201904,"781,383","256,740","200,856","239,025","122,916","122,660","94,835","29,052","1,115,293","110,512","117,527","152,396","133,032","123,267","187,464","263,974","53,891"
여 50s,201904,"774,175","301,177","218,009","254,744","116,543","121,971","102,492","19,196","1,055,142","131,276","131,930","160,374","147,201","148,267","225,257","283,300","51,706"
여 60s,201904,"594,512","255,028","153,880","161,019","76,888","82,353","62,822","12,738","659,996","105,656","98,663","125,837","118,814","123,429","185,952","206,541","35,292"
여 70s,201904,"353,097","150,529","94,197","90,840","48,741","46,962","29,196","7,017","391,425","75,130","65,559","90,903","91,634","109,163","132,610","133,144","24,020"
여 80s,201904,"150,203","66,016","45,407","46,537","23,664","24,053","13,873","4,300","198,175","41,997","40,122","61,175","57,117","70,362","83,971","79,423","14,771"
남 20s,201905,"712,924","230,781","176,244","212,533","108,108","112,404","84,261","17,670","919,667","100,900","110,649","134,786","115,416","111,194","165,533","214,828","43,056"
남 30s,201905,"758,041","225,828","159,858","218,817","99,191","104,817","85,648","29,053","986,167","89,533","106,089","151,275","104,139","104,432","165,383","224,376","43,742"
남 40s,201905,"765,260","258,018","194,281","246,627","120,760","121,042","96,182","31,416","1,145,350","117,921","125,987","173,969","142,679","142,745","204,248","278,994","58,319"
남 50s,201905,"736,617","280,392","208,350","254,756","113,976","119,741","107,305","20,700","1,087,866","137,184","139,052","176,931","155,545","168,217","238,351","294,623","56,484"
남 60s,201905,"536,000","232,714","141,092","159,319","70,071","78,638","64,722","12,498","653,231","104,988","99,066","125,058","115,800","124,458","183,245","204,464","34,791"
남 70s,201905,"298,039","123,057","71,528","74,262","38,573","38,383","25,544","5,770","320,450","59,930","52,126","72,675","69,971","80,940","102,083","100,798","19,577"
남 80s,201905,"90,148","35,054","23,757","23,229","12,322","12,979","6,370","2,114","108,743","21,950","20,131","32,680","28,064","31,260","40,139","34,665","6,967"
여 20s,201905,"736,041","208,945","150,626","194,421","98,370","100,710","66,598","17,249","829,477","79,421","89,214","111,163","99,090","91,750","128,994","174,073","38,629"
여 30s,201905,"758,092","216,679","151,208","205,827","97,072","98,872","77,078","30,618","939,613","82,130","95,693","131,995","97,991","94,120","146,662","206,633","42,433"
여 40s,201905,"779,105","256,172","200,202","238,401","122,727","122,153","94,526","29,205","1,113,539","110,215","117,099","151,996","132,647","122,853","186,944","263,157","53,933"
여 50s,201905,"773,991","300,755","217,898","255,085","116,613","122,137","102,581","19,327","1,058,414","131,428","132,145","160,589","147,116","148,126","225,213","283,711","51,814"
여 60s,201905,"596,352","255,953","154,583","161,959","77,237","82,777","63,286","12,818","664,068","106,236","99,126","126,423","119,146","123,844","186,716","207,649","35,474"
여 70s,201905,"354,073","151,012","94,414","91,093","48,946","46,960","29,317","7,057","392,326","75,050","65,502","90,859","91,600","109,009","132,703","133,251","24,058"
