,CARD_SIDO_NM,STD_CLSS_NM,total_sale_by_indst
374,세종,한식 음식점업,243892.0
375,세종,화장품 및 방향제 소매업,18166.0
376,울산,건강보조식품 소매업,26155.0
377,울산,골프장 운영업,41475.0
378,울산,과실 및 채소 소매업,48460.0
379,울산,관광 민예품 및 선물용품 소매업,7817.0
380,울산,그외 기타 분류안된 오락관련 서비스업,4097.0
381,울산,그외 기타 스포츠시설 운영업,3633.0
382,울산,그외 기타 종합 소매업,53294.0
383,울산,기타 대형 종합 소매업,1051220.0
384,울산,기타 수상오락 서비스업,104849620190.30702
385,울산,기타 외국식 음식점업,6549.0
386,울산,기타 주점업,190193.0
387,울산,기타음식료품위주종합소매업,242600.0
388,울산,마사지업,16218.0
389,울산,면세점,78651814428.71988
390,울산,버스 운송업,499493.29411764967
391,울산,비알콜 음료점업,140811.0
392,울산,빵 및 과자류 소매업,7235.0
393,울산,서양식 음식점업,78195.0
394,울산,수산물 소매업,83727.0
395,울산,슈퍼마켓,846251.0
396,울산,스포츠 및 레크레이션 용품 임대업,4370.0
397,울산,여관업,71322.0
398,울산,여행사업,19530.0
399,울산,욕탕업,50840.0
400,울산,육류 소매업,229026.0
401,울산,일반유흥 주점업,98782.0
402,울산,일식 음식점업,45281.0
403,울산,자동차 임대업,53206.0
404,울산,전시 및 행사 대행업,12190.0
405,울산,중식 음식점업,73043.0
406,울산,차량용 가스 충전업,88103.0
407,울산,차량용 주유소 운영업,903763.0
408,울산,체인화 편의점,349596.0
409,울산,택시 운송업,504004.17647058796
410,울산,피자 햄버거 샌드위치 및 유사 음식점업,103966.0
411,울산,한식 음식점업,1233057.0
412,울산,호텔업,131102.0
413,울산,화장품 및 방향제 소매업,100476.0
414,인천,건강보조식품 소매업,78653.0
415,인천,골프장 운영업,129480.0
416,인천,과실 및 채소 소매업,125434.0
417,인천,관광 민예품 및 선물용품 소매업,55094.0
418,인천,그외 기타 스포츠시설 운영업,12442.0
419,인천,그외 기타 종합 소매업,235356.0
420,인천,기타 대형 종합 소매업,3495194.0
421,인천,기타 수상오락 서비스업,4017.0
422,인천,기타 외국식 음식점업,28674.0
423,인천,기타 주점업,445643.0
424,인천,기타음식료품위주종합소매업,641849.0
425,인천,내항 여객 운송업,18331.529411763513
426,인천,마사지업,26622.0
427,인천,면세점,1606884971336705.2
428,인천,비알콜 음료점업,322928.0
429,인천,빵 및 과자류 소매업,22674.0
430,인천,서양식 음식점업,170025.0
431,인천,수산물 소매업,223706.0
432,인천,슈퍼마켓,1677144.0
433,인천,스포츠 및 레크레이션 용품 임대업,5567.0
434,인천,여관업,122063.0
435,인천,여행사업,60635.0
436,인천,욕탕업,56878.0
437,인천,육류 소매업,466470.0
438,인천,일반유흥 주점업,108439.0
439,인천,일식 음식점업,138841.0
440,인천,자동차 임대업,126685.0
441,인천,전시 및 행사 대행업,21789.0
442,인천,정기 항공 운송업,1192454.8823529433
443,인천,중식 음식점업,232446.0
444,인천,차량용 가스 충전업,304743.0
445,인천,차량용 주유소 운영업,2026196.0
446,인천,체인화 편의점,1107657.0
447,인천,택시 운송업,504004.17647058266
448,인천,피자 햄버거 샌드위치 및 유사 음식점업,276162.0
449,인천,한식 음식점업,2938994.0
450,인천,호텔업,330541.0
451,인천,화장품 및 방향제 소매업,390202.0
452,전남,건강보조식품 소매업,44673.0
453,전남,골프장 운영업,343282.0
454,전남,과실 및 채소 소매업,203191.0
455,전남,관광 민예품 및 선물용품 소매업,8074.0
456,전남,그외 기타 분류안된 오락관련 서비스업,13038.0
457,전남,그외 기타 스포츠시설 운영업,6116.0
458,전남,그외 기타 종합 소매업,60192.0
459,전남,기타 대형 종합 소매업,707575.0
460,전남,기타 수상오락 서비스업,1776.0
461,전남,기타 외국식 음식점업,3460.0
462,전남,기타 주점업,248646.0
463,전남,기타음식료품위주종합소매업,514314.0
464,전남,내항 여객 운송업,18331.529411764797
465,전남,마사지업,12543.0
466,전남,면세점,4505357925993.499
467,전남,버스 운송업,499493.29411764524
468,전남,비알콜 음료점업,180661.0
469,전남,빵 및 과자류 소매업,7919.0
470,전남,서양식 음식점업,73176.0
471,전남,수산물 소매업,436987.0
472,전남,슈퍼마켓,1340453.0
473,전남,스포츠 및 레크레이션 용품 임대업,2515.0
474,전남,여관업,137793.0
475,전남,여행사업,31373.0
476,전남,욕탕업,58682.0
477,전남,육류 소매업,367492.0
478,전남,일반유흥 주점업,119011.0
479,전남,일식 음식점업,35529.0
480,전남,자동차 임대업,64983.0
481,전남,전시 및 행사 대행업,16671.0
