,CARD_SIDO_NM,avg_temp,precipitation,avg_relative_humidity,year,month
17782,경기,-4.5,0.0,49.5,2019,01
17783,강원,-1.6,0.0,28.1,2019,01
17784,충북,-5.8,0.0,51.0,2019,01
17785,충남,-3.7,0.0,61.4,2019,01
17786,전북,-2.9,0.0,57.5,2019,01
17787,전남,-0.5,0.0,37.6,2019,01
17788,경북,-2.1,0.0,35.3,2019,01
17789,경남,-1.6,0.0,31.6,2019,01
17790,제주,3.1,0.0,63.5,2019,01
17791,서울,-0.3,0.0,45.8,2019,01
17792,부산,2.4,0.0,43.5,2019,01
17793,대구,1.5,0.0,47.0,2019,01
17794,광주,1.1,0.0,64.4,2019,01
17795,인천,0.6,0.0,47.9,2019,01
17796,대전,0.0,0.0,72.9,2019,01
17797,울산,2.4,0.0,45.3,2019,01
17798,경기,-0.4,0.0,60.8,2019,01
17799,강원,2.7,0.0,32.5,2019,01
17800,충북,-1.4,0.0,50.8,2019,01
17801,충남,0.6,0.0,61.4,2019,01
17802,전북,0.3,0.0,78.4,2019,01
17803,전남,2.6,0.0,52.8,2019,01
17804,경북,1.8,0.0,43.8,2019,01
17805,경남,1.3,0.0,47.1,2019,01
17806,제주,5.6,0.0,56.4,2019,01
17807,서울,0.6,0.0,44.0,2019,01
17808,부산,5.5,0.0,30.4,2019,01
17809,대구,2.5,0.0,45.6,2019,01
17810,광주,2.4,0.0,70.5,2019,01
17811,인천,1.3,0.0,52.3,2019,01
17812,대전,0.8,0.0,70.8,2019,01
17813,울산,4.5,0.0,33.9,2019,01
17814,경기,-0.4,0.0,66.6,2019,01
17815,강원,4.4,0.0,24.0,2019,01
17816,충북,-2.3,0.0,57.3,2019,01
17817,충남,-0.6,0.0,77.6,2019,01
17818,전북,1.5,0.0,73.9,2019,01
17819,전남,4.3,0.0,50.4,2019,01
17820,경북,3.6,0.0,30.5,2019,01
17821,경남,3.0,0.0,41.9,2019,01
17822,제주,6.4,0.0,63.4,2019,01
17823,서울,3.6,0.0,59.8,2019,01
17824,부산,7.5,0.0,49.1,2019,01
17825,대구,4.5,0.0,46.1,2019,01
17826,광주,3.6,0.0,71.3,2019,01
17827,인천,3.8,0.0,72.0,2019,01
17828,대전,3.2,0.0,66.6,2019,01
17829,울산,7.3,0.0,44.3,2019,01
17830,경기,2.4,0.0,70.5,2019,01
17831,강원,5.7,0.0,37.5,2019,01
17832,충북,0.1,0.0,63.3,2019,01
17833,충남,2.3,0.0,75.9,2019,01
17834,전북,3.6,0.0,72.9,2019,01
17835,전남,5.8,0.0,72.3,2019,01
17836,경북,6.5,0.0,28.8,2019,01
17837,경남,5.0,0.0,58.9,2019,01
17838,제주,8.9,0.0,73.8,2019,01
17839,서울,-1.4,0.0,38.5,2019,01
17840,부산,5.5,0.0,46.1,2019,01
17841,대구,3.4,0.0,39.3,2019,01
17842,광주,2.2,0.0,64.1,2019,01
17843,인천,-1.4,0.0,46.0,2019,01
17844,대전,1.3,0.0,51.1,2019,01
17845,울산,4.3,0.0,40.9,2019,01
17846,경기,-0.4,0.0,45.1,2019,01
17847,강원,3.7,0.0,30.8,2019,01
17848,충북,-0.5,0.0,45.6,2019,01
17849,충남,0.0,0.0,50.9,2019,01
17850,전북,1.3,0.0,68.9,2019,01
17851,전남,4.0,0.0,50.6,2019,01
17852,경북,3.9,0.0,32.1,2019,01
17853,경남,4.2,0.0,46.6,2019,01
17854,제주,6.7,0.0,66.4,2019,01
17855,서울,-1.2,0.0,57.8,2019,01
17856,부산,2.8,0.0,34.6,2019,01
17857,대구,1.9,0.0,38.5,2019,01
17858,광주,2.1,0.0,59.5,2019,01
17859,인천,0.5,0.0,63.3,2019,01
17860,대전,0.2,0.0,62.8,2019,01
17861,울산,2.7,0.0,32.8,2019,01
17862,경기,-1.3,0.0,64.8,2019,01
17863,강원,2.1,0.0,35.0,2019,01
17864,충북,-2.1,0.0,54.3,2019,01
17865,충남,-0.5,0.0,67.6,2019,01
17866,전북,0.7,0.0,69.3,2019,01
17867,전남,3.1,0.0,51.1,2019,01
17868,경북,1.4,0.0,37.1,2019,01
17869,경남,1.7,0.0,38.4,2019,01
17870,제주,6.2,0.0,59.0,2019,01
17871,서울,1.7,0.0,62.0,2019,01
17872,부산,5.5,0.0,43.8,2019,01
17873,대구,3.9,0.0,45.9,2019,01
17874,광주,3.4,0.0,64.4,2019,01
17875,인천,3.4,0.0,70.5,2019,01
17876,대전,3.3,0.0,65.8,2019,01
17877,울산,5.1,0.0,41.3,2019,01
17878,경기,0.4,0.0,79.8,2019,01
17879,강원,4.7,0.0,34.4,2019,01
17880,충북,-0.2,0.0,65.0,2019,01
17881,충남,0.3,0.0,75.8,2019,01
17882,전북,2.6,0.0,70.9,2019,01
17883,전남,6.1,0.0,48.8,2019,01
17884,경북,4.5,0.0,42.6,2019,01
17885,경남,4.0,0.0,49.1,2019,01
17886,제주,8.3,0.0,57.4,2019,01
17887,서울,2.0,0.0,48.9,2019,01
17888,부산,6.5,0.0,44.3,2019,01
17889,대구,4.2,0.0,41.1,2019,01
17890,광주,4.4,0.0,62.1,2019,01
17891,인천,2.7,0.0,57.5,2019,01
17892,대전,2.8,0.0,57.6,2019,01
17893,울산,6.6,0.0,29.4,2019,01
17894,경기,1.5,0.0,60.0,2019,01
17895,강원,5.5,0.0,39.3,2019,01
17896,충북,-0.1,0.0,59.8,2019,01
17897,충남,1.0,0.0,64.1,2019,01
17898,전북,3.0,0.0,73.4,2019,01
17899,전남,6.7,0.0,51.6,2019,01
17900,경북,4.9,0.0,40.0,2019,01
17901,경남,5.2,0.0,47.5,2019,01
17902,제주,8.6,0.0,56.4,2019,01
17903,서울,0.1,0.0,34.9,2019,01
17904,부산,5.7,0.0,30.0,2019,01
17905,대구,2.8,0.0,29.3,2019,01
17906,광주,2.8,0.0,36.5,2019,01
17907,인천,0.2,0.0,42.3,2019,01
17908,대전,0.9,0.0,42.9,2019,01
17909,울산,4.6,0.0,33.8,2019,01
17910,경기,-0.8,0.0,42.9,2019,01
17911,강원,2.7,0.0,35.8,2019,01
17912,충북,-2.4,0.0,45.6,2019,01
17913,충남,-1.7,0.0,50.4,2019,01
17914,전북,1.0,0.0,61.3,2019,01
17915,전남,4.2,0.0,45.0,2019,01
17916,경북,3.6,0.0,28.9,2019,01
17917,경남,3.6,0.0,24.1,2019,01
17918,제주,6.2,0.0,56.1,2019,01
17919,서울,-1.2,0.0,27.6,2019,01
17920,부산,4.2,0.0,25.1,2019,01
17921,대구,1.1,0.0,35.9,2019,01
17922,광주,0.9,0.0,55.1,2019,01
17923,인천,-1.1,0.0,37.5,2019,01
17924,대전,-0.9,0.0,48.5,2019,01
17925,울산,2.9,0.0,25.5,2019,01
17926,경기,-1.2,0.0,44.4,2019,01
17927,강원,1.3,0.0,41.8,2019,01
17928,충북,-3.1,0.0,44.6,2019,01
17929,충남,-2.0,0.0,53.9,2019,01
17930,전북,-0.4,0.0,62.9,2019,01
17931,전남,3.3,0.0,40.0,2019,01
17932,경북,2.3,0.0,23.6,2019,01
17933,경남,2.3,0.0,30.0,2019,01
17934,제주,5.7,0.0,60.4,2019,01
17935,서울,-2.5,0.0,30.9,2019,01
17936,부산,1.0,0.0,25.0,2019,01
17937,대구,-0.3,0.0,25.1,2019,01
17938,광주,-0.5,0.0,46.4,2019,01
17939,인천,-2.5,0.0,39.4,2019,01
17940,대전,-2.3,0.0,41.5,2019,01
17941,울산,0.0,0.0,25.3,2019,01
17942,경기,-2.6,0.0,41.6,2019,01
17943,강원,0.0,0.0,36.4,2019,01
17944,충북,-5.0,0.0,43.3,2019,01
17945,충남,-2.6,0.0,51.9,2019,01
17946,전북,-1.8,0.0,54.4,2019,01
17947,전남,0.4,0.0,36.4,2019,01
17948,경북,0.2,0.0,27.5,2019,01
17949,경남,-0.5,0.0,24.6,2019,01
17950,제주,4.3,0.0,56.1,2019,01
17951,서울,-0.1,0.0,52.5,2019,01
17952,부산,3.9,0.0,29.1,2019,01
17953,대구,0.7,0.0,34.5,2019,01
17954,광주,0.9,0.0,61.0,2019,01
17955,인천,0.8,0.0,60.4,2019,01
17956,대전,-0.4,0.0,59.0,2019,01
17957,울산,2.8,0.0,24.5,2019,01
17958,경기,-0.9,0.0,64.9,2019,01
17959,강원,3.8,0.0,24.1,2019,01
17960,충북,-3.6,0.0,55.1,2019,01
17961,충남,-1.3,0.0,72.4,2019,01
17962,전북,-0.1,0.0,63.6,2019,01
17963,전남,2.3,0.0,49.1,2019,01
17964,경북,2.4,0.0,27.8,2019,01
17965,경남,1.1,0.0,37.3,2019,01
17966,제주,5.6,0.0,62.0,2019,01
17967,서울,1.2,0.0,40.4,2019,01
17968,부산,5.3,0.0,37.4,2019,01
17969,대구,3.1,0.0,35.8,2019,01
17970,광주,3.4,0.0,56.6,2019,01
17971,인천,1.2,0.0,45.6,2019,01
17972,대전,2.3,0.0,61.1,2019,01
17973,울산,3.6,0.0,33.3,2019,01
17974,경기,1.7,0.0,48.5,2019,01
17975,강원,4.1,0.0,30.8,2019,01
17976,충북,0.2,0.0,55.5,2019,01
17977,충남,1.6,0.0,54.9,2019,01
17978,전북,3.3,0.0,64.0,2019,01
17979,전남,5.0,0.0,49.4,2019,01
17980,경북,4.1,0.0,36.8,2019,01
17981,경남,3.9,0.0,37.9,2019,01
17982,제주,7.7,0.0,57.1,2019,01
17983,서울,-0.2,0.0,35.5,2019,01
17984,부산,5.2,0.0,46.0,2019,01
17985,대구,1.6,0.0,39.9,2019,01
17986,광주,2.1,0.0,42.3,2019,01
17987,인천,0.0,0.0,45.0,2019,01
17988,대전,0.1,0.0,50.0,2019,01
17989,울산,4.1,0.0,46.8,2019,01
17990,경기,-0.7,0.0,44.9,2019,01
17991,강원,3.7,0.0,29.0,2019,01
17992,충북,-2.6,0.0,50.1,2019,01
17993,충남,-1.8,0.0,57.3,2019,01
17994,전북,0.4,0.0,57.8,2019,01
17995,전남,3.2,0.0,46.0,2019,01
